index,Label,Side,Label_NoSide
1,A8m_L,L,A8m
2,A8m_R,R,A8m
3,A8dl_L,L,A8dl
4,A8dl_R,R,A8dl
5,A9l_L,L,A9l
6,A9l_R,R,A9l
7,A6dl_L,L,A6dl
8,A6dl_R,R,A6dl
9,A6m_L,L,A6m
10,A6m_R,R,A6m
11,A9m_L,L,A9m
12,A9m_R,R,A9m
13,A10m_L,L,A10m
14,A10m_R,R,A10m
15,A9/46d_L,L,A9/46d
16,A9/46d_R,R,A9/46d
17,IFJ_L,L,IFJ
18,IFJ_R,R,IFJ
19,A46_L,L,A46
20,A46_R,R,A46
21,A9/46v_L,L,A9/46v
22,A9/46v_R,R,A9/46v
23,A8vl_L,L,A8vl
24,A8vl_R,R,A8vl
25,A6vl_L,L,A6vl
26,A6vl_R,R,A6vl
27,A10l_L,L,A10l
28,A10l_R,R,A10l
29,A44d_L,L,A44d
30,A44d_R,R,A44d
31,IFS_L,L,IFS
32,IFS_R,R,IFS
33,A45c_L,L,A45c
34,A45c_R,R,A45c
35,A45r_L,L,A45r
36,A45r_R,R,A45r
37,A44op_L,L,A44op
38,A44op_R,R,A44op
39,A44v_L,L,A44v
40,A44v_R,R,A44v
41,A14m_L,L,A14m
42,A14m_R,R,A14m
43,A12/47o_L,L,A12/47o
44,A12/47o_R,R,A12/47o
45,A11l_L,L,A11l
46,A11l_R,R,A11l
47,A11m_L,L,A11m
48,A11m_R,R,A11m
49,A13_L,L,A13
50,A13_R,R,A13
51,A12/47l_L,L,A12/47l
52,A12/47l_R,R,A12/47l
53,A4hf_L,L,A4hf
54,A4hf_R,R,A4hf
55,A6cdl_L,L,A6cdl
56,A6cdl_R,R,A6cdl
57,A4ul_L,L,A4ul
58,A4ul_R,R,A4ul
59,A4t_L,L,A4t
60,A4t_R,R,A4t
61,A4tl_L,L,A4tl
62,A4tl_R,R,A4tl
63,A6cvl_L,L,A6cvl
64,A6cvl_R,R,A6cvl
65,A1/2/3ll_L,L,A1/2/3ll
66,A1/2/3ll_R,R,A1/2/3ll
67,A4ll_L,L,A4ll
68,A4ll_R,R,A4ll
69,A38m_L,L,A38m
70,A38m_R,R,A38m
71,A41/42_L,L,A41/42
72,A41/42_R,R,A41/42
73,TE1.0/TE1.2_L,L,TE1.0/TE1.2
74,TE1.0/TE1.2_R,R,TE1.0/TE1.2
75,A22c_L,L,A22c
76,A22c_R,R,A22c
77,A38l_L,L,A38l
78,A38l_R,R,A38l
79,A22r_L,L,A22r
80,A22r_R,R,A22r
81,A21c_L,L,A21c
82,A21c_R,R,A21c
83,A21r_L,L,A21r
84,A21r_R,R,A21r
85,A37dl_L,L,A37dl
86,A37dl_R,R,A37dl
87,aSTS_L,L,aSTS
88,aSTS_R,R,aSTS
89,A20iv_L,L,A20iv
90,A20iv_R,R,A20iv
91,A37elv_L,L,A37elv
92,A37elv_R,R,A37elv
93,A20r_L,L,A20r
94,A20r_R,R,A20r
95,A20il_L,L,A20il
96,A20il_R,R,A20il
97,A37vl_L,L,A37vl
98,A37vl_R,R,A37vl
99,A20cl_L,L,A20cl
100,A20cl_R,R,A20cl
101,A20cv_L,L,A20cv
102,A20cv_R,R,A20cv
103,A20rv_L,L,A20rv
104,A20rv_R,R,A20rv
105,A37mv_L,L,A37mv
106,A37mv_R,R,A37mv
107,A37lv_L,L,A37lv
108,A37lv_R,R,A37lv
109,A35/36r_L,L,A35/36r
110,A35/36r_R,R,A35/36r
111,A35/36c_L,L,A35/36c
112,A35/36c_R,R,A35/36c
113,TL_L,L,TL
114,TL_R,R,TL
115,A28/34_L,L,A28/34
116,A28/34_R,R,A28/34
117,TI_L,L,TI
118,TI_R,R,TI
119,TH_L,L,TH
120,TH_R,R,TH
121,rpSTS_L,L,rpSTS
122,rpSTS_R,R,rpSTS
123,cpSTS_L,L,cpSTS
124,cpSTS_R,R,cpSTS
125,A7r_L,L,A7r
126,A7r_R,R,A7r
127,A7c_L,L,A7c
128,A7c_R,R,A7c
129,A5l_L,L,A5l
130,A5l_R,R,A5l
131,A7pc_L,L,A7pc
132,A7pc_R,R,A7pc
133,A7ip_L,L,A7ip
134,A7ip_R,R,A7ip
135,A39c_L,L,A39c
136,A39c_R,R,A39c
137,A39rd_L,L,A39rd
138,A39rd_R,R,A39rd
139,A40rd_L,L,A40rd
140,A40rd_R,R,A40rd
141,A40c_L,L,A40c
142,A40c_R,R,A40c
143,A39rv_L,L,A39rv
144,A39rv_R,R,A39rv
145,A40rv_L,L,A40rv
146,A40rv_R,R,A40rv
147,A7m_L,L,A7m
148,A7m_R,R,A7m
149,A5m_L,L,A5m
150,A5m_R,R,A5m
151,dmPOS_L,L,dmPOS
152,dmPOS_R,R,dmPOS
153,A31_L,L,A31
154,A31_R,R,A31
155,A1/2/3ulhf_L,L,A1/2/3ulhf
156,A1/2/3ulhf_R,R,A1/2/3ulhf
157,A1/2/3tonIa_L,L,A1/2/3tonIa
158,A1/2/3tonIa_R,R,A1/2/3tonIa
159,A2_L,L,A2
160,A2_R,R,A2
161,A1/2/3tru_L,L,A1/2/3tru
162,A1/2/3tru_R,R,A1/2/3tru
163,G_L,L,G
164,G_R,R,G
165,vIa_L,L,vIa
166,vIa_R,R,vIa
167,dIa_L,L,dIa
168,dIa_R,R,dIa
169,vId/vIg_L,L,vId/vIg
170,vId/vIg_R,R,vId/vIg
171,dIg_L,L,dIg
172,dIg_R,R,dIg
173,dId_L,L,dId
174,dId_R,R,dId
175,A23d_L,L,A23d
176,A23d_R,R,A23d
177,A24rv_L,L,A24rv
178,A24rv_R,R,A24rv
179,A32p_L,L,A32p
180,A32p_R,R,A32p
181,A23v_L,L,A23v
182,A23v_R,R,A23v
183,A24cd_L,L,A24cd
184,A24cd_R,R,A24cd
185,A23c_L,L,A23c
186,A23c_R,R,A23c
187,A32sg_L,L,A32sg
188,A32sg_R,R,A32sg
189,cLinG_L,L,cLinG
190,cLinG_R,R,cLinG
191,rCunG_L,L,rCunG
192,rCunG_R,R,rCunG
193,cCunG_L,L,cCunG
194,cCunG_R,R,cCunG
195,rLinG_L,L,rLinG
196,rLinG_R,R,rLinG
197,vmPOS_L,L,vmPOS
198,vmPOS_R,R,vmPOS
199,mOccG_L,L,mOccG
200,mOccG_R,R,mOccG
201,V5/MT+_L,L,V5/MT+
202,V5/MT+_R,R,V5/MT+
203,OPC_L,L,OPC
204,OPC_R,R,OPC
205,iOccG_L,L,iOccG
206,iOccG_R,R,iOccG
207,msOccG_L,L,msOccG
208,msOccG_R,R,msOccG
209,lsOccG_L,L,lsOccG
210,lsOccG_R,R,lsOccG
211,mAmyg_L,L,mAmyg
212,mAmyg_R,R,mAmyg
213,lAmyg_L,L,lAmyg
214,lAmyg_R,R,lAmyg
215,rHipp_L,L,rHipp
216,rHipp_R,R,rHipp
217,cHipp_L,L,cHipp
218,cHipp_R,R,cHipp
219,vCa_L,L,vCa
220,vCa_R,R,vCa
221,GP_L,L,GP
222,GP_R,R,GP
223,NAC_L,L,NAC
224,NAC_R,R,NAC
225,vmPu_L,L,vmPu
226,vmPu_R,R,vmPu
227,dCa_L,L,dCa
228,dCa_R,R,dCa
229,dlPu_L,L,dlPu
230,dlPu_R,R,dlPu
231,mPFtha_L,L,mPFtha
232,mPFtha_R,R,mPFtha
233,mPMtha_L,L,mPMtha
234,mPMtha_R,R,mPMtha
235,Stha_L,L,Stha
236,Stha_R,R,Stha
237,rTtha_L,L,rTtha
238,rTtha_R,R,rTtha
239,PPtha_L,L,PPtha
240,PPtha_R,R,PPtha
241,Otha_L,L,Otha
242,Otha_R,R,Otha
243,cTtha_L,L,cTtha
244,cTtha_R,R,cTtha
245,lPFtha_L,L,lPFtha
246,lPFtha_R,R,lPFtha
