cur.index,Label,source,trimmed.label,super.code,side,super.index,msa.results
1,Precentral_L,AAL,Precentral,1,L,1001,0
2,Precentral_R,AAL,Precentral,1,R,2001,21
3,Frontal_Sup_L,AAL,Frontal_Sup,2,L,1002,7.1
4,Frontal_Sup_R,AAL,Frontal_Sup,2,R,2002,0
5,Frontal_Sup_Orb_L,AAL,Frontal_Sup_Orb,2,L,1002,7.1
6,Frontal_Sup_Orb_R,AAL,Frontal_Sup_Orb,2,R,2002,0
7,Frontal_Mid_L,AAL,Frontal_Mid,3,L,1003,0
8,Frontal_Mid_R,AAL,Frontal_Mid,3,R,2003,0
9,Frontal_Mid_Orb_L,AAL,Frontal_Mid_Orb,3,L,1003,0
10,Frontal_Mid_Orb_R,AAL,Frontal_Mid_Orb,3,R,2003,0
11,Frontal_Inf_Oper_L,AAL,Frontal_Inf_Oper,4,L,1004,0
12,Frontal_Inf_Oper_R,AAL,Frontal_Inf_Oper,4,R,2004,0
13,Frontal_Inf_Tri_L,AAL,Frontal_Inf_Tri,4,L,1004,0
14,Frontal_Inf_Tri_R,AAL,Frontal_Inf_Tri,4,R,2004,0
15,Frontal_Inf_Orb_L,AAL,Frontal_Inf_Orb,4,L,1004,0
16,Frontal_Inf_Orb_R,AAL,Frontal_Inf_Orb,4,R,2004,0
17,Rolandic_Oper_L,AAL,Rolandic_Oper,4,L,1004,0
18,Rolandic_Oper_R,AAL,Rolandic_Oper,4,R,2004,0
19,Supp_Motor_Area_L,AAL,Supp_Motor_Area,5,L,1005,7.2
20,Supp_Motor_Area_R,AAL,Supp_Motor_Area,5,R,2005,0
21,Olfactory_L,AAL,Olfactory,26,L,1026,0
22,Olfactory_R,AAL,Olfactory,26,R,2026,0
23,Frontal_Sup_Medial_L,AAL,Frontal_Sup_Medial,5,L,1005,7.2
24,Frontal_Sup_Medial_R,AAL,Frontal_Sup_Medial,5,R,2005,0
25,Frontal_Sup_Med_Orb_L,AAL,Frontal_Sup_Med_Orb,2,L,1002,7.1
26,Frontal_Sup_Med_Orb_R,AAL,Frontal_Sup_Med_Orb,2,R,2002,0
27,Rectus_L,AAL,Rectus,26,L,1026,0
28,Rectus_R,AAL,Rectus,26,R,2026,0
29,Insula_L,AAL,Insula,6,L,1006,0
30,Insula_R,AAL,Insula,6,R,2006,0
31,Cingulum_Ant_L,AAL,Cingulum_Ant,7,L,1007,0
32,Cingulum_Ant_R,AAL,Cingulum_Ant,7,R,2007,0
33,Cingulum_Mid_L,AAL,Cingulum_Mid,7,L,1007,0
34,Cingulum_Mid_R,AAL,Cingulum_Mid,7,R,2007,0
35,Cingulum_Post_L,AAL,Cingulum_Post,7,L,1007,0
36,Cingulum_Post_R,AAL,Cingulum_Post,7,R,2007,0
37,Hippocampus_L,AAL,Hippocampus,8,L,1008,0
38,Hippocampus_R,AAL,Hippocampus,8,R,2008,0
39,ParaHippocampal_L,AAL,ParaHippocampal,8,L,1008,0
40,ParaHippocampal_R,AAL,ParaHippocampal,8,R,2008,0
41,Amygdala_L,AAL,Amygdala,8,L,1008,0
42,Amygdala_R,AAL,Amygdala,8,R,2008,0
43,Calcarine_L,AAL,Calcarine,26,L,1026,0
44,Calcarine_R,AAL,Calcarine,26,R,2026,0
45,Cuneus_L,AAL,Cuneus,26,L,1026,0
46,Cuneus_R,AAL,Cuneus,26,R,2026,0
47,Lingual_L,AAL,Lingual,26,L,1026,0
48,Lingual_R,AAL,Lingual,26,R,2026,0
49,Occipital_Sup_L,AAL,Occipital_Sup,26,L,1026,0
50,Occipital_Sup_R,AAL,Occipital_Sup,26,R,2026,0
51,Occipital_Mid_L,AAL,Occipital_Mid,26,L,1026,0
52,Occipital_Mid_R,AAL,Occipital_Mid,26,R,2026,0
53,Occipital_Inf_L,AAL,Occipital_Inf,26,L,1026,0
54,Occipital_Inf_R,AAL,Occipital_Inf,26,R,2026,0
55,Fusiform_L,AAL,Fusiform,26,L,1026,0
56,Fusiform_R,AAL,Fusiform,26,R,2026,0
57,Postcentral_L,AAL,Postcentral,9,L,1009,0
58,Postcentral_R,AAL,Postcentral,9,R,2009,22.2
59,Parietal_Sup_L,AAL,Parietal_Sup,10,L,1010,0
60,Parietal_Sup_R,AAL,Parietal_Sup,10,R,2010,0
61,Parietal_Inf_L,AAL,Parietal_Inf,11,L,1011,0
