,atlas,code,label,side,size,supercode,parc.code,parc.label
1,AAL,1,Precentral,L,3526,1,1,M1
2,AAL,3,Frontal_Sup,L,3599,2,2,SupFront
3,AAL,5,Frontal_Sup_Orb,L,963,3,2,SupFront
4,AAL,7,Frontal_Mid,L,4863,4,3,MidFront
5,AAL,9,Frontal_Mid_Orb,L,888,5,3,MidFront
6,AAL,11,Frontal_Inf_Oper,L,1038,6,4,InfFront
7,AAL,13,Frontal_Inf_Tri,L,2529,7,4,InfFront
8,AAL,15,Frontal_Inf_Orb,L,1690,8,4,InfFront
9,AAL,17,Rolandic_Oper,L,990,9,4,InfFront
10,AAL,19,Supp_Motor_Area,L,2147,10,5,SMA.SFM
11,AAL,21,Olfactory,L,280,11,999,RoB
12,AAL,23,Frontal_Sup_Medial,L,2992,12,5,SMA.SFM
13,AAL,25,Frontal_Med_Orb,L,719,13,2,SupFront
14,AAL,27,Rectus,L,852,14,999,RoB
15,AAL,29,Insula,L,1858,15,6,Insula
16,AAL,31,Cingulum_Ant,L,1400,16,7,CG
17,AAL,33,Cingulum_Mid,L,1941,17,7,CG
18,AAL,35,Cingulum_Post,L,463,18,7,CG
19,AAL,37,Hippocampus,L,932,19,8,MTL
20,AAL,39,ParaHippocampal,L,978,20,8,MTL
21,AAL,41,Amygdala,L,220,21,8,MTL
22,AAL,43,Calcarine,L,2258,22,999,RoB
23,AAL,45,Cuneus,L,1526,23,999,RoB
24,AAL,47,Lingual,L,2095,24,999,RoB
25,AAL,49,Occipital_Sup,L,1366,25,999,RoB
26,AAL,51,Occipital_Mid,L,3270,26,999,RoB
27,AAL,53,Occipital_Inf,L,941,27,999,RoB
28,AAL,55,Fusiform,L,2310,28,999,RoB
29,AAL,57,Postcentral,L,3892,29,9,S1
30,AAL,59,Parietal_Sup,L,2065,30,10,SPL
31,AAL,61,Parietal_Inf,L,2447,31,11,IPL
32,AAL,63,SupraMarginal,L,1256,32,11,IPL
33,AAL,65,Angular,L,1173,33,11,IPL
34,AAL,67,Precuneus,L,3528,34,12,Precuneus
35,AAL,69,Paracentral_Lobule,L,1349,35,13,PCL
36,AAL,71,Caudate,L,962,36,14,Caudate
37,AAL,73,Putamen,L,1009,37,15,Putamen
38,AAL,75,Pallidum,L,293,38,16,Pallidum
39,AAL,77,Thalamus,L,1100,39,17,Thalamus
40,AAL,79,Heschl,L,225,40,18,DL.Temp
41,AAL,81,Temporal_Sup,L,2296,41,18,DL.Temp
42,AAL,83,Temporal_Pole_Sup,L,1285,42,18,DL.Temp
43,AAL,85,Temporal_Mid,L,4942,43,19,VL.Temp
44,AAL,87,Temporal_Pole_Mid,L,755,44,19,VL.Temp
45,AAL,89,Temporal_Inf,L,3200,45,19,VL.Temp
55,JHU,8,CST,L,178,55,20,Brainstem
56,JHU,10,ML,L,83,56,20,Brainstem
57,JHU,12,ICP,L,119,57,20,Brainstem
58,JHU,14,SCP,L,121,58,20,Brainstem
59,JHU,16,CP,L,263,59,20,Brainstem
60,JHU,18,ALIC,L,392,60,21,ALIC
61,JHU,20,PLIC,L,477,61,22,PLIC
62,JHU,22,RLIC,L,311,62,22,PLIC
63,JHU,24,ACR,L,865,63,23,ACR
64,JHU,26,SCR,L,924,64,24,SCR
65,JHU,28,PCR,L,446,65,25,PCR
66,JHU,30,PTR,L,478,66,999,RoB
67,JHU,32,SS,L,288,67,26,SS
68,JHU,34,EC,L,450,68,27,EC
69,JHU,36,CGC,L,337,69,999,RoB
70,JHU,38,CGH,L,131,70,999,RoB
71,JHU,40,FX.ST,L,147,71,999,RoB
72,JHU,42,SLF,L,815,72,28,SLF
73,JHU,44,SFO,L,55,73,29,PostWM
74,JHU,46,IFO,L,242,74,29,PostWM
75,JHU,48,UNC,L,49,75,29,PostWM
76,JHU,50,TAP,L,71,76,999,RoB
77,Left.M1,1,CST.M1,L,1012,77,30,CST
78,Left.S1,1,CST.S1,L,661,78,30,CST
79,Left.PMd,1,CST.PMd,L,467,79,30,CST
80,Left.PMv,1,CST.PMv,L,403,80,30,CST
81,Left.SMA,1,CST.SMA,L,576,81,30,CST
82,Left.preSMA,1,CST.preSMA,L,406,82,30,CST
83,Left.CRST,1,CRP.RST,L,2950,83,31,CRP.RST
