index,Label_NoSide,Side,Label
1,M1,R,M1_R
2,SupFront,R,SupFront_R
3,MidFront,R,MidFront_R
4,InfFront,R,InfFront_R
5,SMA.SFM,R,SMA.SFM_R
6,Insula,R,Insula_R
7,CG,R,CG_R
8,MTL,R,MTL_R
9,S1,R,S1_R
10,SPL,R,SPL_R
11,IPL,R,IPL_R
12,Precuneus,R,Precuneus_R
13,PCL,R,PCL_R
14,Caudate,R,Caudate_R
15,Putamen,R,Putamen_R
16,Pallidum,R,Pallidum_R
17,Thalamus,R,Thalamus_R
18,DL.Temp,R,DL.Temp_R
19,VL.Temp,R,VL.Temp_R
20,Brainstem,R,Brainstem_R
21,ALIC,R,ALIC_R
22,PLIC,R,PLIC_R
23,ACR,R,ACR_R
24,SCR,R,SCR_R
25,PCR,R,PCR_R
26,SS,R,SS_R
27,EC,R,EC_R
28,SLF,R,SLF_R
29,PostWM,R,PostWM_R
30,CST,R,CST_R
31,CRP.RST,R,CRP.RST_R
999,RoB,R,RoB_R
